itemLabel,date_of_birth,date_of_death
Arnold Ruge,1802-09-13T00:00:00Z,1880-12-31T00:00:00Z
Arnold Gehlen,1904-01-29T00:00:00Z,1976-01-30T00:00:00Z
Eugen Fink,1905-12-11T00:00:00Z,1975-07-25T00:00:00Z
Otto von Gierke,1841-01-11T00:00:00Z,1921-10-10T00:00:00Z
Friedrich Immanuel Niethammer,1766-03-06T00:00:00Z,1848-04-01T00:00:00Z
Friedrich Immanuel Niethammer,1766-03-26T00:00:00Z,1848-04-01T00:00:00Z
Bernhard Waldenfels,1934-03-17T00:00:00Z,
George Bălan,1929-01-01T00:00:00Z,
Georg Bernhard Bilfinger,1693-01-23T00:00:00Z,1750-02-18T00:00:00Z
Johann Jakob Brucker,1696-01-22T00:00:00Z,1770-11-26T00:00:00Z
Wolfgang Welsch,1946-10-17T00:00:00Z,
Christoph von Sigwart,1830-03-28T00:00:00Z,1904-08-04T00:00:00Z
Christoph von Sigwart,1830-03-28T00:00:00Z,1905-08-05T00:00:00Z
Albrecht Wellmer,1933-07-09T00:00:00Z,
Paul Ludwig Landsberg,1901-12-03T00:00:00Z,1944-04-02T00:00:00Z
Herman Nohl,1879-10-07T00:00:00Z,1960-09-26T00:00:00Z
Herman Nohl,1879-10-07T00:00:00Z,1960-09-27T00:00:00Z
Georg Andreas Gabler,1786-07-30T00:00:00Z,1853-09-13T00:00:00Z
Johannes Clauberg,1622-02-24T00:00:00Z,1665-01-31T00:00:00Z
Oskar Becker,1889-09-05T00:00:00Z,1964-11-13T00:00:00Z
Hermann Friedrich Wilhelm Hinrichs,1794-04-22T00:00:00Z,1861-09-17T00:00:00Z
Rudolf Pannwitz,1881-05-27T00:00:00Z,1969-03-23T00:00:00Z
Georg Klaus,1912-12-18T00:00:00Z,1974-07-29T00:00:00Z
Georg Klaus,1912-12-28T00:00:00Z,1974-07-29T00:00:00Z
Bruno Bauch,1877-01-19T00:00:00Z,1942-02-27T00:00:00Z
Alexander Pfänder,1870-02-07T00:00:00Z,1941-03-18T00:00:00Z
Markus Herz,1747-01-17T00:00:00Z,1803-01-19T00:00:00Z
Nicolaus Hieronymus Gundling,1671-02-25T00:00:00Z,1729-12-09T00:00:00Z
Rudolf Schottlaender,1900-08-05T00:00:00Z,1988-01-04T00:00:00Z
Carl Ludwig Schleich,1859-07-19T00:00:00Z,1922-03-07T00:00:00Z
Gerda Alexander,1908-02-15T00:00:00Z,1994-02-21T00:00:00Z
Gustav Kafka,1883-07-23T00:00:00Z,1953-02-12T00:00:00Z
Karlfried Graf Dürckheim,1896-10-24T00:00:00Z,1988-12-28T00:00:00Z
Friedrich Christian Baumeister,1709-07-17T00:00:00Z,1785-10-08T00:00:00Z
Georg Misch,1878-04-05T00:00:00Z,1965-06-10T00:00:00Z
Paul Lorenzen,1915-03-24T00:00:00Z,1994-10-01T00:00:00Z
Hans Freyer,1887-07-31T00:00:00Z,1969-01-18T00:00:00Z
Elmar Altvater,1938-08-24T00:00:00Z,
Karl von Prantl,1820-01-28T00:00:00Z,1888-09-14T00:00:00Z
Robert Todd Carroll,1945-05-18T00:00:00Z,2016-08-25T00:00:00Z
Arcesilaus,-314-01-01T00:00:00Z,-239-01-01T00:00:00Z
Johannes Volkelt,1848-07-21T00:00:00Z,1930-05-08T00:00:00Z
Günther Jakobs,1937-01-01T00:00:00Z,
Theodor Mundt,1808-09-19T00:00:00Z,1861-11-30T00:00:00Z
Francesco Acri,1834-03-19T00:00:00Z,1913-11-21T00:00:00Z
Tom Beauchamp,1939-01-01T00:00:00Z,
Benno Erdmann,1851-05-30T00:00:00Z,1921-01-07T00:00:00Z
Johann Georg Gichtel,1638-03-24T00:00:00Z,1710-01-21T00:00:00Z
Rüdiger Bubner,1941-05-09T00:00:00Z,2007-02-09T00:00:00Z
Heinrich Bernhard Oppenheim,1819-07-20T00:00:00Z,1880-03-29T00:00:00Z
Julius Guttmann,1880-04-15T00:00:00Z,1950-05-19T00:00:00Z
Lazarus Geiger,1829-05-21T00:00:00Z,1870-08-29T00:00:00Z
Max Baginski,1864-01-01T00:00:00Z,1943-11-24T00:00:00Z
Tim Maudlin,1958-04-23T00:00:00Z,
Felix Krueger,1874-08-10T00:00:00Z,1948-02-25T00:00:00Z
Johann Sturm,1635-11-03T00:00:00Z,1703-12-26T00:00:00Z
Ferdinand Lassall,1825-04-11T00:00:00Z,1864-08-31T00:00:00Z
Eduard Bernstein,1850-01-06T00:00:00Z,1932-12-18T00:00:00Z
Karl Löwith,1897-01-09T00:00:00Z,1973-05-26T00:00:00Z
Norbert Elias,1897-06-22T00:00:00Z,1990-08-01T00:00:00Z
Wilhelm Wundt,1832-08-16T00:00:00Z,1920-08-31T00:00:00Z
Alfred Rosenberg,1893-01-12T00:00:00Z,1946-10-16T00:00:00Z
Alfred Läpple,1915-06-19T00:00:00Z,2013-07-21T00:00:00Z
Franz Jakob Clemens,1815-10-04T00:00:00Z,1862-02-24T00:00:00Z
Julius Bahnsen,1830-03-30T00:00:00Z,1881-12-07T00:00:00Z
Philipp Mainländer,1841-01-01T00:00:00Z,1876-04-01T00:00:00Z
Paul Barth,1858-08-01T00:00:00Z,1922-09-30T00:00:00Z
Wilhelm Braune,1850-02-20T00:00:00Z,1926-11-10T00:00:00Z
Friedrich von Gottl-Ottlilienfeld,1868-01-01T00:00:00Z,1958-01-01T00:00:00Z
Eugen Herrigel,1884-01-01T00:00:00Z,1955-01-01T00:00:00Z
Dietrich Bonhoeffer,1906-02-04T00:00:00Z,1945-04-09T00:00:00Z
Hans-Georg Gadamer,1900-02-11T00:00:00Z,2002-03-13T00:00:00Z
Jürgen Habermas,1929-06-18T00:00:00Z,
Georg Cantor,1845-03-03T00:00:00Z,1918-01-06T00:00:00Z
Ludwig Feuerbach,1804-07-28T00:00:00Z,1872-09-13T00:00:00Z
Johann Christoph Gottsched,1700-02-02T00:00:00Z,1766-12-12T00:00:00Z
Johann Georg Hamann,1730-08-27T00:00:00Z,1788-06-21T00:00:00Z
Nicolai Hartmann,1882-02-20T00:00:00Z,1950-10-09T00:00:00Z
Paul Natorp,1854-01-24T00:00:00Z,1924-08-17T00:00:00Z
Karl Jaspers,1883-02-23T00:00:00Z,1969-02-26T00:00:00Z
Christian Wolff,1679-01-24T00:00:00Z,1754-04-09T00:00:00Z
Wilhelm Schuppe,1836-05-05T00:00:00Z,1913-03-27T00:00:00Z
Wilhelm Schuppe,1836-05-05T00:00:00Z,1913-03-29T00:00:00Z
Franz Xaver von Baader,1765-03-27T00:00:00Z,1841-05-23T00:00:00Z
Karl Vogt,1817-07-05T00:00:00Z,1895-05-05T00:00:00Z
Erich Rothacker,1881-03-12T00:00:00Z,1965-08-11T00:00:00Z
